model_name,relation_pair_id,layer_idx,relation_transfer_pct,overwrite_pct,failure_pct,n
meta-llama/Llama-3.2-3B,part_recv__past_donor,18,1.0,0.0,0.0,21
meta-llama/Llama-3.2-3B,part_recv__past_donor,20,1.0,0.0,0.0,21
meta-llama/Llama-3.2-3B,part_recv__past_donor,22,1.0,0.0,0.0,21
meta-llama/Llama-3.2-3B,part_recv__past_donor,24,1.0,0.0,0.0,21
meta-llama/Llama-3.2-3B,part_recv__past_donor,26,1.0,0.0,0.0,21
meta-llama/Llama-3.2-3B,past_recv__part_donor,0,0.0,0.0,1.0,21
meta-llama/Llama-3.2-3B,past_recv__part_donor,2,0.0,0.09523809523809523,0.9047619047619048,21
meta-llama/Llama-3.2-3B,past_recv__part_donor,4,0.0,0.14285714285714285,0.8571428571428571,21
meta-llama/Llama-3.2-3B,past_recv__part_donor,6,0.0,0.09523809523809523,0.9047619047619048,21
meta-llama/Llama-3.2-3B,past_recv__part_donor,8,0.0,0.047619047619047616,0.9523809523809523,21
meta-llama/Llama-3.2-3B,past_recv__part_donor,10,0.0,0.14285714285714285,0.8571428571428571,21
meta-llama/Llama-3.2-3B,past_recv__part_donor,12,0.0,0.09523809523809523,0.9047619047619048,21
meta-llama/Llama-3.2-3B,past_recv__part_donor,14,1.0,0.0,0.0,21
meta-llama/Llama-3.2-3B,past_recv__part_donor,16,1.0,0.0,0.0,21
meta-llama/Llama-3.2-3B,past_recv__part_donor,18,1.0,0.0,0.0,21
meta-llama/Llama-3.2-3B,past_recv__part_donor,20,1.0,0.0,0.0,21
meta-llama/Llama-3.2-3B,past_recv__part_donor,22,1.0,0.0,0.0,21
meta-llama/Llama-3.2-3B,past_recv__part_donor,24,1.0,0.0,0.0,21
meta-llama/Llama-3.2-3B,past_recv__part_donor,26,1.0,0.0,0.0,21
meta-llama/Meta-Llama-3-8B,cap_recv__lang_donor,0,0.0,0.0,1.0,33
meta-llama/Meta-Llama-3-8B,cap_recv__lang_donor,2,0.0,0.030303030303030304,0.9696969696969697,33
meta-llama/Meta-Llama-3-8B,cap_recv__lang_donor,4,0.8484848484848485,0.030303030303030304,0.12121212121212122,33
meta-llama/Meta-Llama-3-8B,cap_recv__lang_donor,6,1.0,0.0,0.0,33
meta-llama/Meta-Llama-3-8B,cap_recv__lang_donor,8,1.0,0.0,0.0,33
meta-llama/Meta-Llama-3-8B,cap_recv__lang_donor,10,1.0,0.0,0.0,33
meta-llama/Meta-Llama-3-8B,cap_recv__lang_donor,12,1.0,0.0,0.0,33
