model_name,steer_type,zone,source_family,layer_idx,alpha,target_hit_pct,random_target_hit_pct,original_pct,random_original_pct,mixed_pct,random_mixed_pct,n
Qwen/Qwen2.5-3B,entity_mid,mid,capital,14,1.0,0.0,0.0,0.7272727272727273,0.8484848484848485,0.2727272727272727,0.15151515151515152,33
Qwen/Qwen2.5-3B,entity_mid,mid,capital,14,1.5,0.06060606060606061,0.0,0.2727272727272727,0.7272727272727273,0.6666666666666666,0.2727272727272727,33
Qwen/Qwen2.5-3B,entity_mid,mid,capital,14,2.0,0.06060606060606061,0.0,0.030303030303030304,0.21212121212121213,0.9090909090909091,0.7878787878787878,33
Qwen/Qwen2.5-3B,entity_mid,mid,capital,14,3.0,0.0,0.0,0.0,0.06060606060606061,1.0,0.9393939393939394,33
Qwen/Qwen2.5-3B,entity_mid,mid,capital,16,0.5,0.0,0.0,0.9090909090909091,0.9393939393939394,0.09090909090909091,0.06060606060606061,33
Qwen/Qwen2.5-3B,entity_mid,mid,capital,16,1.0,0.0,0.0,0.5454545454545454,0.8787878787878788,0.45454545454545453,0.12121212121212122,33
Qwen/Qwen2.5-3B,entity_mid,mid,capital,16,1.5,0.030303030303030304,0.0,0.18181818181818182,0.36363636363636365,0.7878787878787878,0.6363636363636364,33
Qwen/Qwen2.5-3B,entity_mid,mid,capital,16,2.0,0.0,0.0,0.09090909090909091,0.15151515151515152,0.9090909090909091,0.8484848484848485,33
Qwen/Qwen2.5-3B,entity_mid,mid,capital,16,3.0,0.0,0.0,0.0,0.030303030303030304,1.0,0.9696969696969697,33
Qwen/Qwen2.5-3B,entity_mid,mid,capital,18,0.5,0.0,0.0,0.8787878787878788,0.9393939393939394,0.12121212121212122,0.06060606060606061,33
Qwen/Qwen2.5-3B,entity_mid,mid,capital,18,1.0,0.0,0.0,0.48484848484848486,0.8787878787878788,0.5151515151515151,0.12121212121212122,33
Qwen/Qwen2.5-3B,entity_mid,mid,capital,18,1.5,0.030303030303030304,0.0,0.18181818181818182,0.42424242424242425,0.7878787878787878,0.5757575757575758,33
Qwen/Qwen2.5-3B,entity_mid,mid,capital,18,2.0,0.0,0.0,0.06060606060606061,0.18181818181818182,0.9393939393939394,0.8181818181818182,33
Qwen/Qwen2.5-3B,entity_mid,mid,capital,18,3.0,0.0,0.0,0.0,0.0,1.0,1.0,33
Qwen/Qwen2.5-3B,entity_mid,mid,capital,20,0.5,0.0,0.0,0.8181818181818182,0.9696969696969697,0.18181818181818182,0.030303030303030304,33
Qwen/Qwen2.5-3B,entity_mid,mid,capital,20,1.0,0.030303030303030304,0.0,0.24242424242424243,0.7575757575757576,0.7272727272727273,0.24242424242424243,33
Qwen/Qwen2.5-3B,entity_mid,mid,capital,20,1.5,0.06060606060606061,0.0,0.12121212121212122,0.30303030303030304,0.8181818181818182,0.696969696969697,33
Qwen/Qwen2.5-3B,entity_mid,mid,capital,20,2.0,0.0,0.0,0.030303030303030304,0.12121212121212122,0.9696969696969697,0.8787878787878788,33
Qwen/Qwen2.5-3B,entity_mid,mid,capital,20,3.0,0.0,0.0,0.0,0.0,1.0,1.0,33
Qwen/Qwen2.5-3B,entity_mid,mid,capital,22,0.5,0.0,0.0,0.696969696969697,0.9393939393939394,0.30303030303030304,0.06060606060606061,33
Qwen/Qwen2.5-3B,entity_mid,mid,capital,22,1.0,0.030303030303030304,0.0,0.18181818181818182,0.8181818181818182,0.7878787878787878,0.18181818181818182,33
Qwen/Qwen2.5-3B,entity_mid,mid,capital,22,1.5,0.030303030303030304,0.0,0.06060606060606061,0.21212121212121213,0.9090909090909091,0.7878787878787878,33
Qwen/Qwen2.5-3B,entity_mid,mid,capital,22,2.0,0.0,0.0,0.0,0.06060606060606061,1.0,0.9393939393939394,33
Qwen/Qwen2.5-3B,entity_mid,mid,capital,22,3.0,0.0,0.0,0.0,0.0,1.0,1.0,33
Qwen/Qwen2.5-3B,entity_mid,mid,comparative,14,0.5,0.0,0.0,0.8333333333333334,0.75,0.16666666666666666,0.25,12
Qwen/Qwen2.5-3B,entity_mid,mid,comparative,14,1.0,0.0,0.0,0.5,0.4166666666666667,0.5,0.5833333333333334,12
Qwen/Qwen2.5-3B,entity_mid,mid,comparative,14,1.5,0.0,0.0,0.25,0.0,0.75,1.0,12
Qwen/Qwen2.5-3B,entity_mid,mid,comparative,14,2.0,0.0,0.0,0.0,0.0,1.0,1.0,12
Qwen/Qwen2.5-3B,entity_mid,mid,comparative,14,3.0,0.0,0.0,0.0,0.0,1.0,1.0,12
Qwen/Qwen2.5-3B,entity_mid,mid,comparative,16,0.5,0.0,0.0,0.8333333333333334,0.9166666666666666,0.16666666666666666,0.08333333333333333,12
Qwen/Qwen2.5-3B,entity_mid,mid,comparative,16,1.0,0.0,0.0,0.5,0.08333333333333333,0.5,0.9166666666666666,12
Qwen/Qwen2.5-3B,entity_mid,mid,comparative,16,1.5,0.0,0.0,0.4166666666666667,0.0,0.5833333333333334,1.0,12
Qwen/Qwen2.5-3B,entity_mid,mid,comparative,16,2.0,0.0,0.0,0.0,0.0,1.0,1.0,12
Qwen/Qwen2.5-3B,entity_mid,mid,comparative,16,3.0,0.0,0.0,0.0,0.0,1.0,1.0,12
Qwen/Qwen2.5-3B,entity_mid,mid,comparative,18,0.5,0.0,0.0,0.75,0.5833333333333334,0.25,0.4166666666666667,12
Qwen/Qwen2.5-3B,entity_mid,mid,comparative,18,1.0,0.0,0.0,0.3333333333333333,0.08333333333333333,0.6666666666666666,0.9166666666666666,12
Qwen/Qwen2.5-3B,entity_mid,mid,comparative,18,1.5,0.0,0.0,0.16666666666666666,0.0,0.8333333333333334,1.0,12
Qwen/Qwen2.5-3B,entity_mid,mid,comparative,18,2.0,0.0,0.0,0.0,0.0,1.0,1.0,12
Qwen/Qwen2.5-3B,entity_mid,mid,comparative,18,3.0,0.0,0.0,0.0,0.0,1.0,1.0,12
Qwen/Qwen2.5-3B,entity_mid,mid,comparative,20,0.5,0.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,12
Qwen/Qwen2.5-3B,entity_mid,mid,comparative,20,1.0,0.0,0.0,0.25,0.08333333333333333,0.75,0.9166666666666666,12
